Sentiment,Text
0,@artusof its a pain. There is a known issue as its happening for all source parameters
1,@artvisions rainy Sunday mornings are perfect. enjoy your time @ starbucks.
1,@artyjill I used to sell my prints but have been looking for someone to print my work so I can get more time on my art
1,@artykel so whats new with you? Any cool ideas and when are we gunna get up for coffee?
0,@AmandaSue123 forealll me too.
0,@amandasunly haha not fair!!i want to get a pair of nude heels still
1,@amandaswigert just texted you
0,@amandateaches - Dude I am sooooo sorry I missed your shower! I am an asshole. http://myloc.me/28zF
1,"@AmandaTurner While I do like LB, my parents Rn't really the country type, so I've decided the weekend will B shopping I'm ok w/ that "
1,@AmandaVega I'm working on it. Thanks for the suggestion.
1,@amandaviel good luck!
1,@amandavp yea.. I will haha
1,@AmandaWadsley you're a spaz
0,"@AmandaWadsley i thought it'd go all gooey and like melted chocolate and yum, but it just burned and bubbled and i was like damn x"
1,@AmandaWadsley what week do we go back on? :L LOVEEEE you too
1,@amandawheel if this means what I think it means then GOOD LUCK!!! Call me if you need help haha love you wheezy
1,@amandawight Wine: what a miracle worker!!
0,"@amandawilk106 Oh, tomorrow's part 2? Crap."
0,"@amandawormann @rachellee625 everyone seems to be at work or too far away ps. Rach, I ate enough blueberries for both of us today."
1,"@amandaxoxo OMG, it's tomorrow?! Yay!! Umm, I vote &quot;Angel&quot; or &quot;MftS&quot; or whatever you want. It'll be live so it'll be awesome!!"
0,@amandaxrae @Spennynub I knooooow but I don't have Showtime I don't have cable period.
0,@amandaxrae he didn't steal me You both can use me!
0,@amandaxrae Missed the moment I guess Babe... Heartbroken....
1,@amanderz Hope you're having an awesome time
1,@amandick: i dyed mine too! what color is yours?
0,@Amandinha161 COME DO IT THEN!! Omg i'm gonna miss you so muchhhh!!
1,@amands42 sorry for late reply ha.. ) oh yeah wear civilian nlang gud hahaha... and yah.. HEY!!!!!
1,@amanduhhhhh You can find them on bookmans.com or on the same paper schedule in the store. Phx/Mesa are listed together.
1,@amanduhmarshall your so dumb
0,@AmanduhNicole aww I'm sorry I feel like that happens to everyone that's why I'm never changing my pic ! haha
1,@AmandyyLouLou Why thankyou haha
1,@amani_w heii amanii whaz up?? bug hug
0,"@amanisfly lucky you!! i start at 11 . however, i just have one lesson today, so i finish at 12 haha"
1,@amanisfly the same thing lol..going out with someone special today
1,@amanofpeace All I know is I was told 'free concert' 'park' 'tuesday' and likely cancellation due to storms.
1,"@amanofpeace hey, I let you get a little sleep between all the fun we had "
1,@amanoj taking 70-291 to complete my MCSA
0,@amansharma81 having tea after facing a &quot;bad reality&quot; ;)
0,@amara_m *huggles gently* i'm sorry
1,@amara_m @eloryj *HUGS* and *SMOOCHIES* right back at both of ya!
0,"@amara_m ack, I meant to start that yesterday I'm sorry "
1,@amara_m Do you have someone who can jump in if they fail to post? Because I could think of a theme in 3 hours if needed
0,"@amara_m I usually prefer Scott/Angel, there was this one fic at ff.net that got me HOOKED on that pairing. I miss it now. "
1,@ashwinpande It's funny because it's true
1,@ashwins congrats on your new purchase...I secretly only like the DIY part.
1,@ashworthedu there have a lot of changes in the past year. It has only been weeks for me
1,@ashycats LOL love that that's your first Tweet
1,"@AshyJonas haha ok, i was like ¿? , but the i get it "
0,@AshyLBowz - OH FOA REAL.? I DIDNT REALLY KEEP UP WITH WHAT WAS GOING ON. TOO MANY DIFF STORYS N STUFF HEY. WISH HE NEVA DID IT!
1,@AshyLBowz u tweeted yo self
0,@AshyMae87 &amp; @gadlikewhoa I need you both right now so much.
0,@Ashymon Aww that's horrible One day I was cutting these green vegetable thingys for Mam and there was tiny little things in them...
0,@AshySwiftnas I tried but youtube doesn't accept windows movie maker either It sucks..
0,@ashyyRAWR lol its okay bummer tho! who is your favourite?
1,@Asi_Sharabi was the coffee that strong?
1,@AsiaBrands Asian rocks! lol.. Let spread the asia brand via @asiabrands
1,"@AsiaBrands thanks! much appreciated AsiaBrands, you rock! "
1,@AsiaBrands thanx alot! tyty
1,"@asiadevinyl hahaha, sorry, sweetheart, couldn't resist i love norris jokes "
0,@asiahappypills He passed away recently No word yet on circumstances of his death. Let's pray for him.
0,"@asiakadoodle sadly, no we HAVE to all hang out again one night with macaroni and plastic ducks. i pretty much live with meme now."
1,@asialakay sure thing... Take your time.
0,@Asialyn damn that sounds sooo good. I just had taco bell
0,@AsiaMonae hey gurl! please don't hate on me I like to keep haters away..I have too many! Thatnks for the mention again..Love ya! muah!
1,@AsiaMonet saw your profile and thought of u when I saw this http://snurl.com/jmyg9 u may know about it already but if not here you go!
1,"@asian_panda your moving to cali !? niceeee, im in cali lets meet up ! haha"
1,"@AsianActress Great job,chatting, and chatting "
1,@asianated get your butt on MSN.
0,@asianchoi Don't kill me. I'll bring your gauges tomorrow. My mom was like... Watching me get ready. I couldn't grab them.
0,"@asiandrea Swimming rocks but I'm not a very good swimmer Me: I run, ride bicycle, lift weights and train muay thai, bag and pad work."
1,@asiandrea We are big fans of animals and go to parks and zoos whenever we get the chance
1,@ASiANFRESH thanks dear
1,@ASIANJUL check my flickr!!! I uploaded new pics
1,@asianmanrecords it's not that hard mike! it can be seen as a strange place at first
1,@asianminga oh girlie me too!! BEST summer drink ever!!!
0,@AsianRidersClub what's wrong with my profile pic?
0,"@asiansfly No, as a waiter "
1,@asiaonemotoring here I am missing it. Appreciate the update mate
0,@AsiaRain22 @ the expensive of their workers welfare other than that they are the shit !
0,@asiariffic what happened? why's ur heart in pain?
0,@asiasimonelli it doesnt show u following me yet but welcome! i've got some good ppl u should follow.
1,@asiatikah but its ok! rob pattinson &lt;3 wont be there! so is not worthy! hahaha .. when r u coming again?! Alex is coming this week!
0,@artysticpoet lucky for you! I'm here til 7
0,"@ArtyTheCat Please take care of yourself, my friend!!!"
1,@ArtyTheCat Yay
0,@ArtyTheCat @princessPdexter has captivated everyone here...my dad dislikes me i think...he says i look like babe the pig...
0,"@ArtyTheCat aw, I would say G'night back!!! wait, that doesn't sound like you! ::slaps:::: there's our arty! :::ducks down"
0,"@artytypes checked my work emails again, nothing arrived Could you send again tomorrow and cc me at home?x"
1,@Artytypes good morning. Did u have good weekend?
0,"@artywah Wooo soup day! Unfortunately, no photos of mine "
0,@artyxlorna Tell me about it.
0,@Arual_87 i don't think i'll be able to get it off i'm on the bar tonight!
1,"@aruky Yes, this NBA song is great!!! Got an old funny NBA cheerleader remix song. Ohrwurm of the day &quot;colorblind&quot;."
1,"@arulprasad man, one more painting today #coffee #art"
1,@ArunBasilLal Ok #coffeeclub
1,@ArunBasilLal I mean post photos to twitpic or posterous. #bck5 #bck6
1,"@ArunBasilLal it wud be very interesting to read our papers during valuation, lots f innovations, but they dnt do that "
0,@ArunBasilLal my tweetdeck rate limit exceeded. i dont even know what happened?
1,"@ArunBasilLal Yeah, and what more important is they made it Open Source! "
1,"@ArunBasilLal Yep, I am totally happy with it...I will most probably put a post on how I use...the keyboard shortcuts make life simple "
1,@ArunBasilLal Yes I thought Wordpress would be neat enough! And yes! about the lazy quote! Even THAT is an understatement!
1,@arundo_donax ISN'T PUPPY FREAKING ADORABLE!? I didn't want to let her go. FUZZYPUPPY.
1,@arunnerslife don't you dare leave twitter! did you run something this weekend?
0,@arunshroff i get a peak speed of 512 Kbps -- at peak times its worse than a dial-up
1,@arunsuresh I expected an anticlimax !!
1,@arunsuresh remain the same !!
1,"@ARustedSmile Oh, I thought it's only a man-ly problem to not be able to figure out your mom. So now it's official! Mom's are weird! "
1,@ARutt I agree
0,@arvarvarv d day started pretty well but was spoilt by a &quot;friend&quot; of family who always pokes his nose in2 other people business...
1,@arvelie thanks..
1,"@arviena hahaha...come, be a judge, need your brutal honesty "
1,@arvinchester ahahaha not really.... it's up to you how often you would like to tweet
1,@arvindk no questions..;) nothing can beat Firefox
0,"@ArvindRocks - No work, but gotta be here till 9pm Enna kodumai sir idhu..."
1,@arvindsays I contemplate &amp; procrastinate only over things which require use of brain
0,@arvindsharma hey..how r you?? Having fever since 2 days
0,@ArvintheMAC OMFG I just saw the video of you hitting that goat.. So messed up!!!
1,@arwa_abdulaziz Thanks for sharing us
1,"@arwatts Turn right , Hey baby, Black keys, World war 3 "
1,"@arwenelizabeth Wow. I may have just busted out some Mom-level teary eyes. That post is so beautiful. Thanks, sister "
1,@asic69 *hehe* or it was a hint for you about a x-mas pressy
0,@AsifKhan412 Next week will be sad times for us all!
1,"@asikaac If *I* every make it back home to StL, I'll never have another Frosty again! Okay, maybe I will. "
1,@asil Cute presents!
1,@asilentfilm We're waiting for you guys! Kisses from Portugal!
1,@asilentflute you know what's up! Strippers in the Hood
0,@ASilverDream @Kaydeescrafts and the current economic climate is probably causing more of it to happen as well
0,"@AsImAnt -- no, not me! "
0,@asimpleparadox if only! there was nothing soft about that yogging
1,@asin NP thanx for sharing!
1,@asinclairharris Happy #fletcherday!
1,@asinclairharris mcfly are on radio one
1,"@asinglewahm Good morning! Ooh, thank you! Nice to experience ppl being happy to see you! O thank you. So far, so good! You, too!"
1,@asinglewahm Thanx! much -- you too. Hope you get some time for yourself!
1,@ASinisterDuck @nathanvernon I can haz LoveFilm code pwees?
1,@ASinisterDuck 10:15 early?
1,"@ASinisterDuck dont remember haha, quite a few we do it every year, just hope bandwidth holds up"
1,@ASinisterDuck i will join dunno if you added me
0,"@ASinisterDuck orange are a bunch of cocks so i went with a 16gb Iphone, wanted white but they only had black "
1,@ASinisterDuck Saw Terminartor yesterday and was bloody brilliant. Apparantly this will be part of a trilogy
1,@ASinisterDuck thats when it starts yeah
1,@asinkujobear lol what..i was thirsty!
1,@asIprosper thank you
1,@asishgt very very very true......
1,@asj519 I found you Why don't I ever see you anymore?!
0,@Ask_About_Brie lol yea but we didn't get 2 go 2 ocean city 2day cuz of the weather
1,@ask4adam good luck getting a new job
1,@ask4adam Nice. Good luck at certain times of the day
1,@ask4adam oh sweet. Love Campbell. We're right of San Tomas so somewhat close
1,@ASK4ME thank you for the #FF
1,@Ask4Prayer thank you so much for praying - made a huge difference
1,"@askaaronlee At my age, I know a bit old for some of my peers and I am going to make &quot;veteran&quot; an in word. Yeah!"
0,@askaaronlee But I should be in UK comp ! Not fair !!
1,@askaaronlee Great! I look forward to it!
1,"@askaaronlee Hello, It is memorable already since i have way too many things to do "
1,"@askaaronlee hey gave you my photo, would you mind returning the favour ? http://is.gd/13kZ7"
1,@askaaronlee not a problem Asians rocks! haha!
0,"@AskAJAnything Sending really, really good thoughts."
1,@AskAJAnything haha ur to funny! Thanks I try!
0,@AskAJAnything I hope your cat gets better
1,@askalicexo There was too much weekend traffic to speed so the urges brought on by the album went unrealized
1,@AskAngels Has your server been severed?
1,@AskAngels im checkin it out!!! gotta support!
1,"@askarnett Andre my brotha cheers for the #followfriday recommend. hmmm I see you want more time golfing, well lets build that IM machine "
1,"@amara_m It's best they find out now whether they can hang or not I don't get offended when people unfollow me, after all."
1,@amara_m They could miss the vein
1,@amarabidali no offense but I don't know you from a bar of soap
1,@amaracampisi aww your gonna be a high schooler
1,@amarachiatmac my grilled chicken is better ;D
0,"@amaranthac: just had lunch, but the swan had eaten all my bread "
0,"@amarashar oh, poor ashar, no iphone 3.0 yet "
1,@Amaren88 Good morning !!!!!!!! XX
1,@Amaren88 I always answer within a minute or i should be busy wich happens a lot LOL XX
1,@Amaren88 Yep the same Ron like way to much lol and draco with a dove in his hands XX
0,@Amaretto_87 what's wrong boo????
1,@amarie2209 whats for breakfast ? lol
0,@amarie226 I miss his &quot;I'm thinking of someone&quot; tweets and his tinks! Hope he gets back here soon. We need to talk about Saturday!
0,@AmarieB76 a case via e-bay. this completely sucks!!!!!!!!!!!!
0,"@AmarieB76 besides KoL, F1 is my passion! That news is majorly stressing me out :s what am I gonna do with my weekends now "
1,"@AmarieB76 eeee!! Nacho! Glasvegas that bad, eh?"
0,@amariie sorry for touching your sunburn
0,"@amarillaNZ Hey girl, where are you??? I'm sad to read that you're ill... "
1,@amarita77 goodmorning ready for anthor day?
0,@amarita77 that is good and bad. If you busy then there are a lot of sick and hurt people
1,@amarjyoti from the airport yes
0,@Amarok806 think it's Pollution ! something that doesn't even exist for the Govt. i know several other people with the same thing ..
0,@Amarok806 sad that i can't play sims 3 on my system
1,@Amarok806 wow cool...good luck
1,@amarquet Looks like a funky place
0,@amassingham ... hope you get your computer working again. I hope I didn't break it
1,@amassingham Thanks
1,"@amassingham the technology in the doctored promo video is amazing im dubious about its reality though, but just me"
0,"@amataski oh, i remember our shopping trips.... "
1,@amateurgourmet Sounds like you may have my grandfather's recipe for &quot;candy beans&quot;
0,@amateurhour @shreenas the sad thing is that I'm not even sure if I'm joking or not...
0,@Amathria I wish we had an IHOP here it's so tasty...
0,@Amathria ughs that sucksm sorry to hear that bout ur headaches.
0,"@amatodesign nope, was playing at the back mostly - injured myself saving an effort on goal + only managed to play for 15 mins "
1,@amatoronto No problem - just wanted to make you aware - wanted to DM you
1,@AmaWheelies what number was i?
0,@amaxlea me
1,@AmayaSwimwear you know I luv ya girl! Your super cool!
0,@amazcuna So many people with headaches in the office!!! Yikes!
0,@AmaZInDimPZ it started Tues. but I meant missed out as in there's maddd ugly ishh left
1,@Amazing_Grace13 Good luck w/ your day !!
0,"@Amazing_Grace13 me neither, was it via cell phone or twitter? I don't have a cell phone only a silly tracfone for emergencies!"
0,@arwentelian I got a brochure that was bemoaning the use of pads and tampons and advocating the use of a rubber cup. &quot;To save the enviro&quot;
1,@arwoodall hmm... all smiles i see lol
1,@arwyn84 king single from smith city. it has a pillow top and is only 15cm smaller than a double bed
1,@arxe yey
1,"@arxpoetica it's certainly on the bleeding edge, but if it's possible today I don't see why we shouldn't use the technology "
1,@aryaditya don't need to justify everything everyone is allowed to have their own opinions and agree to disagree
1,@aryaditya ohh ok thnx ..will get touch with @benstrider are you listening ? probably am visitng there next to next weekend !
1,@AryanaAdin and @JaylaStarr fucking rock! and sexy too
1,@ARYANASTARR it's ok. Not too much. But I have friends from Quebec City here that own a video game company.
0,@aryanmaine aw ya geordan hasnt texted me at all today
1,"@aryanmaine ill be there, but the doors will be locked, and i ain't opening "
0,@aryanmaine SORRY i didnt get your tweets; bb's are STUPPID;; im @ home now.
1,@AryehAkiva wow u twitter . Miss ya
0,@AryIrigoyen oh! I want one!!!
0,@Aryn21md 10 NOT including bonus. I fail at life and physio. hahah
1,"@arynp: I think that's it. Because the old ones used to have those rolly balls, but these use sensors. I feel smart! Lol. "
1,"@arysongs who knows.... maybe she has changed and Niley is not officialy back, they are really good friends, i think..."
0,@arz_bayani ay nako alam ko.. hahahhaa i officially have a sleeping problem.
0,@arzhou:
1,"@arzie praying mantids are fascinating creatures. scary and awesome at the same time, and great to photograph. "
1,@arzoum never mind we figured it out thanks anyway!
0,@arzupancic I was washing my sheets and it was tangled up in them and I didn't know .
0,"@AS_dirt won't download, I need to update the phone. Same with facebook. "
1,"@AS_King we're open Sundays now through Labor Day, 10am-4pm "
0,@AsaAkira I hear hv delayed the v3.0 release till tmrw...so sad
0,@AsaAkira yeah I think it's sometime after 6 or 9 am
0,"@AsaAkira yeah, but thats really just Chuck's webmaster - he's not really on Twitter hisself "
1,@AsaAlger Hey Asa! I'm Siska; nice to meet you Congrats intern with CC. Keep in touch!
1,"@AsaCavalli PS u can't call me boo then old head, that mix don't match!!! (An I'm younger than you!!! Cougar!!) Lmao "
1,"@ASacco Hey Al - I really want a new BB. I want the BEST one, because I'm a baby Any chance you'd tell me what you think is the best?"
1,@asafrommaui Awesome! Happy Aloha Friday to you!
1,"@asafrommaui Morning! No, I have the weekends off. Though I sleep in early on Sunday in order for me to produce Monday's Sunrise."
0,@aSaladADay I'm sorry...not trying to do that
1,@aSaladADay thanks...Night
0,@AsamAhmad Like toothpaste
1,@asamahmad You would do more damage to the GWIZ that it would have done to you
0,@asamiasamiasami Get well soon my love! Let me know if you need anything *hugs*
1,@Amazing92 I KNOWWWW did you see it?
1,@amazingamanda I do I do! @Lakers coverage on Wednesday please!!!
1,@amazingcircus have fun!!! Haha just finished noodles n corn n pork ham.
1,"@amazingcircus kool, where are you? "
1,@amazingphil are you uploading your video tonight
1,"@AmazingPhil better go jogging, you need to have a good heart to live through the suprises every 10 seconds "
0,@AmazingPhil go back into the room when u can charlie is mean
1,@AmazingPhil hahaha i did a fake tattoo with waterproof eyeliner but it looks real
1,@AmazingPhil http://twitpic.com/6bv1p hope you like it it was my first one soo its not amazing UNLIKE YOU !
0,@AmazingPhil i hate BB
1,"@AmazingPhil i just thought that said, drag me to hell tonight , i was thinking wtf haha. have fun =]"
0,@AmazingPhil nooooooooo I can hug you though! that was random sorrrry! ^.^
1,"@AmazingPhil So far, I love all of the games you linked. "
1,@AmazingPhil The day after tomorrow
0,@AmazingPhil WARNING I went to see drag me to hell and I really didn't like it
1,@AmazingPhil you're amazing. keep up the great vids. love watchin em &lt;3
0,"@amazingphoebe alright, so think of something to do tomorrow, and we'll do it until then, i'm gonna get off twitter i love you "
0,@amazingphoebe don't you have work tomorrow too or some shit?
0,"@amazingphoebe i can't see you tomorrow morning, we're going out for birthday breakfast with grandma. i'll talk to you when i get home "
0,@amazingphoebe i don't know what to say or do i love you
0,"@amazingphoebe i emailed you baby eeek, i'll call you tonight yes "
0,"@amazingphoebe if that's what you want to believe, then be my guest "
0,"@amazingphoebe jumped off the trampoline, landed funny. already a massive bruise, think i might have sprained it "
0,@amazingphoebe mum said you couldn't come over
1,"@amazingphoebe she had like, two bags of mini mars bars, i was like, YOU CAN AFFORD FOOD! /claps!"
0,"@amazingphoebe well, not really care, just like, you didn't want me to stay sjkdfhasdf and don't say that "
0,"@amazingphoebe yeah, i did think that, maybe you should have been unforgiving in the first place you could hurt me that much, you could"
1,"@amazingphoebe yes misses, that would be greatly appreciated plus, you'd be able to choose one that you think will look good on meh "
0,"@amazingphoebe you tell me not to take my bad moods on you, but you just did then? oh well, it doesn't matter "
1,@amazingvictoria hey girl
